book,chapter,paragraph,scene,line,page,speaker,addressee,person,org,place,language,aloud,format,words
1,2,24,10,1,15,#Mycroft,#reader,#Carlyle,NA,NA,en-en,FALSE,novel,129
1,2,24,10,1,15,#Mycroft,#reader,#Bridger,NA,NA,en-en,FALSE,novel,129
1,2,25,10,1,16,#Mycroft,#reader,#Bridger,NA,#Europe,en-en,FALSE,novel,80
1,2,25,10,1,16,#Mycroft,#reader,#Voltaire,NA,#Europe,en-en,FALSE,novel,80
1,2,25,10,1,16,#Mycroft,#reader,#reader,NA,#Europe,en-en,FALSE,novel,80
1,2,25,10,1,16,#Mycroft,#reader,#Thisbe,NA,#Europe,en-en,FALSE,novel,80
1,2,26,10,1,16,#Thisbe,#Bridger,NA,NA,NA,en-en,TRUE,novel,1
1,2,26,10,1,16,#Thisbe,#Major,NA,NA,NA,en-en,TRUE,novel,1
1,2,26,10,2,16,#Thisbe,#Bridger,#Bridger,NA,NA,en-en,TRUE,novel,4
1,2,27,10,1,16,#Major,#Bridger,NA,NA,NA,en-en,TRUE,novel,14
1,2,29,10,1,16,#reader,#Mycroft,#Mycroft,NA,NA,en-ar,FALSE,novel,4
1,2,29,10,2,16,#reader,#Mycroft,NA,NA,NA,en-ar,FALSE,novel,30
1,2,29,10,3,16,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,109
1,2,29,10,3,16,#Mycroft,#reader,#Bridger,NA,NA,en-en,FALSE,novel,109
1,2,30,11,1,17,#Major,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,1
1,2,30,11,1,17,#Thisbe,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,1
1,2,30,11,1,17,#Bridger,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,1
1,2,31,12,1,17,#Mycroft,#Major,NA,NA,NA,en-en,TRUE,novel,2
1,2,31,12,1,17,#Mycroft,#Thisbe,NA,NA,NA,en-en,TRUE,novel,2
1,2,31,12,1,17,#Mycroft,#Bridger,NA,NA,NA,en-en,TRUE,novel,2
1,2,32,12,1,17,#Thisbe,#Mycroft,NA,NA,NA,en-en,TRUE,novel,4
1,2,32,13,2,17,#Thisbe,#Mycroft,#Bridger,NA,NA,en-en,TRUE,novel,20
1,2,32,13,2,17,#Thisbe,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,20
1,2,32,13,3,17,#Thisbe,#Ockham,NA,NA,NA,sp-hu,TRUE,novel,4
1,2,32,13,4,17,#Thisbe,#Ockham,NA,NA,NA,sp-hu,TRUE,novel,30
1,2,33,13,1,17,#Mycroft,#Carlyle,NA,NA,NA,en-en,TRUE,novel,56
1,2,34,14,1,17,#Thisbe,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,3
1,2,34,14,2,17,#Thisbe,#Mycroft,NA,NA,NA,en-en,TRUE,novel,16
1,2,35,14,1,17,#Mycroft,#Thisbe,NA,NA,NA,en-en,TRUE,novel,1
1,2,35,14,2,17,#Mycroft,#Thisbe,#Thisbe,NA,NA,en-en,TRUE,novel,5
1,2,36,14,1,17,#Thisbe,#Mycroft,#Ockham,NA,NA,en-en,TRUE,novel,17
1,2,37,14,1,17,#Mycroft,#Thisbe,#Thisbe,NA,NA,en-en,TRUE,novel,28
1,2,38,14,1,17,#Mycroft,#reader,#reader,#Alliance,NA,en-en,FALSE,novel,337
1,2,38,14,1,17,#Mycroft,#reader,#McKay,#Alliance,NA,en-en,FALSE,novel,337
1,2,39,14,1,18,#Major,#Thisbe,#Mycroft,NA,NA,en-en,TRUE,novel,2
1,2,39,14,2,18,#Major,#Thisbe,#Bridger,NA,NA,en-en,TRUE,novel,25
1,2,39,14,2,18,#Major,#Thisbe,#Thisbe,NA,NA,en-en,TRUE,novel,25
1,2,41,14,1,18,#Unknown-Soldier,#Unknown-Soldier,#Major,NA,NA,en-en,TRUE,novel,3
1,2,42,14,1,18,#Unknown-Soldier,#Unknown-Soldier,NA,NA,NA,en-en,TRUE,novel,10
1,2,43,14,1,18,#Unknown-Soldier,#Unknown-Soldier,NA,NA,NA,en-en,TRUE,novel,2
1,2,44,14,1,18,#Mycroft,#Carlyle,#Thisbe,NA,NA,en-en,TRUE,novel,10
1,2,45,14,1,18,#Mycroft,#reader,#Carlyle,NA,NA,en-en,FALSE,novel,117
1,2,46,14,1,19,#Carlyle,#Mycroft,NA,NA,NA,en-en,TRUE,novel,1
1,2,48,14,1,19,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,4
1,2,49,14,1,19,#Carlyle,#Major,#Carlyle,NA,NA,en-en,TRUE,novel,2
1,2,50,14,1,19,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,3
1,2,50,14,2,19,#Major,#Carlyle,#Major,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#Aimer,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#Looker,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#Crawler,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#Medic,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#StanderY,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#StanderG,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#Croucher,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#Nogun,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#Nostand,NA,NA,en-en,TRUE,novel,27
1,2,50,14,2,19,#Major,#Carlyle,#Pointer,NA,NA,en-en,TRUE,novel,27
1,2,51,14,1,19,#Carlyle,#Major,NA,NA,NA,en-en,TRUE,novel,1
1,2,52,14,1,19,#Major,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,46
1,2,52,14,1,19,#Major,#Carlyle,#Pointer,NA,NA,en-en,TRUE,novel,46
1,2,54,14,1,19,#Carlyle,#Major,NA,NA,NA,en-en,TRUE,novel,6
1,2,55,14,1,19,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,5
1,2,55,14,2,19,#Major,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,25
1,2,55,14,2,19,#Major,#Carlyle,#Thisbe,NA,NA,en-en,TRUE,novel,25
1,2,56,14,1,19,#Carlyle,#Major,NA,NA,NA,en-en,TRUE,novel,2
1,2,57,14,1,19,#Major,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,1
1,2,57,14,2,19,#Major,#Mycroft,#Carlyle,NA,NA,en-en,TRUE,novel,11
1,2,59,14,1,20,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,4
1,2,59,14,2,20,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,40
1,2,60,14,1,20,#Carlyle,#Bridger,#Bridger,NA,NA,en-en,TRUE,novel,2
1,2,62,14,1,20,#Thisbe,#Carlyle,#Carlyle,NA,NA,en-en,TRUE,novel,5
1,2,62,14,2,20,#Thisbe,#Mycroft,#Carlyle,NA,NA,en-en,TRUE,novel,3
1,2,62,14,3,20,#Mycroft,#reader,#Bridger,NA,NA,en-en,FALSE,novel,8
1,2,63,14,1,20,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,2
1,2,63,14,2,20,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,9
1,2,64,14,1,20,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,17
1,2,65,14,1,20,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,1
1,2,66,14,1,20,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,9
1,2,67,14,1,20,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,16
1,2,68,14,1,21,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,2
1,2,68,14,2,21,#Thisbe,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,25
1,2,69,14,1,21,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,13
1,2,71,14,1,21,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,4
1,2,71,14,2,21,#Carlyle,#Thisbe,NA,#Conclave,NA,en-en,TRUE,novel,39
1,2,71,14,2,21,#Carlyle,#Thisbe,NA,#SWBH,NA,en-en,TRUE,novel,39
1,2,72,14,1,21,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,2
1,2,73,14,1,21,#Carlyle,#Thisbe,NA,#Conclave,NA,en-en,TRUE,novel,14
1,2,74,14,1,21,#Thisbe,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,12
1,2,75,14,1,21,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,2
1,2,76,14,1,21,#Mycroft,#Carlyle,NA,NA,NA,en-en,TRUE,novel,1
1,2,77,14,1,21,#Carlyle,#Mycroft,NA,NA,NA,en-en,TRUE,novel,2
1,2,77,14,1,21,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,2
1,2,78,14,1,21,#Mycroft,#Carlyle,NA,NA,NA,en-en,TRUE,novel,2
1,2,79,14,1,21,#Carlyle,#Mycroft,NA,NA,NA,en-en,TRUE,novel,3
1,2,79,14,1,21,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,3
1,2,79,14,2,21,#Carlyle,#Mycroft,NA,NA,NA,en-en,TRUE,novel,36
1,2,79,14,2,21,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,36
1,2,80,14,1,21,#Mycroft,#Carlyle,NA,NA,NA,en-en,TRUE,novel,7
1,2,81,14,1,21,#Carlyle,#Mycroft,NA,NA,NA,en-en,TRUE,novel,1
1,2,81,14,2,22,#Carlyle,#Mycroft,NA,NA,NA,en-en,TRUE,novel,8
1,2,83,14,1,22,#Thisbe,#Bridger,#Bridger,NA,NA,en-en,TRUE,novel,13
1,2,83,14,1,22,#Thisbe,#Bridger,#Carlyle,NA,NA,en-en,TRUE,novel,13
1,2,84,14,1,22,#Bridger,#Thisbe,#Pointer,NA,NA,en-en,TRUE,novel,2
1,2,85,14,1,22,#Mycroft,#Bridger,NA,NA,NA,en-en,TRUE,novel,7
1,2,85,14,2,22,#Mycroft,#Bridger,NA,NA,NA,en-en,TRUE,novel,6
1,2,86,14,1,22,#Bridger,#Mycroft,NA,NA,NA,en-en,TRUE,novel,3
1,2,86,14,2,22,#Bridger,#Mycroft,NA,NA,NA,en-en,TRUE,novel,16
1,2,87,14,1,22,#Mycroft,#Bridger,#Carlyle,NA,NA,en-en,TRUE,novel,43
1,2,88,14,1,22,#Bridger,#Carlyle,#Pointer,NA,NA,en-en,TRUE,novel,74
1,2,89,14,1,23,#Carlyle,#Bridger,NA,NA,NA,en-en,TRUE,novel,4
1,2,89,14,2,23,#Carlyle,#Bridger,#Pointer,NA,NA,en-en,TRUE,novel,39
1,2,90,14,1,23,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,23
1,2,91,14,1,23,#Bridger,#Carlyle,#Pointer,NA,NA,en-en,TRUE,novel,7
1,2,91,14,2,23,#Bridger,#Carlyle,NA,NA,NA,en-en,TRUE,novel,9
1,2,92,14,1,23,#Carlyle,#Bridger,NA,NA,NA,en-en,TRUE,novel,7
1,2,93,14,1,23,#Bridger,#Carlyle,NA,NA,NA,en-en,TRUE,novel,10
1,2,94,14,1,23,#Carlyle,#Bridger,#Pointer,NA,NA,en-en,TRUE,novel,57
1,2,95,14,1,23,#Bridger,#Carlyle,NA,NA,#Hades,en-en,TRUE,novel,21
1,2,95,14,1,23,#Bridger,#Carlyle,NA,NA,Heaven,en-en,TRUE,novel,21
1,2,96,14,1,23,#Carlyle,#Bridger,NA,NA,NA,en-en,TRUE,novel,10
1,2,97,14,1,23,#Bridger,#Carlyle,#Pointer,NA,NA,en-en,TRUE,novel,51
1,2,99,14,1,23,#Mycroft,#reader,#reader,NA,#Troy,en-en,FALSE,novel,373
1,2,99,14,1,23,#Mycroft,#reader,#Hecuba,NA,#Troy,en-en,FALSE,novel,373
1,2,99,14,1,23,#Mycroft,#reader,#Menelaus,NA,#Troy,en-en,FALSE,novel,373
1,2,99,14,1,23,#Mycroft,#reader,#Ajax,NA,#Troy,en-en,FALSE,novel,373
1,2,99,14,1,23,#Mycroft,#reader,#Thersites,NA,#Troy,en-en,FALSE,novel,373
1,2,99,14,1,23,#Mycroft,#reader,#ThomasCarlyle,NA,#Troy,en-en,FALSE,novel,373
1,2,100,14,1,24,#Thisbe,#Mycroft,NA,NA,NA,en-en,TRUE,novel,1
1,2,101,14,1,24,#Mycroft,#Thisbe,NA,NA,NA,en-en,TRUE,novel,1
1,2,101,14,2,24,#Mycroft,#Thisbe,#Bridger,NA,NA,en-en,TRUE,novel,4
1,2,101,14,3,24,#Mycroft,#Bridger,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,101,14,4,24,#Mycroft,#Bridger,#Carlyle,NA,NA,en-en,TRUE,novel,26
1,2,101,14,4,24,#Mycroft,#Bridger,#Mommadoll,NA,NA,en-en,TRUE,novel,26
1,2,101,14,4,24,#Mycroft,#Bridger,#Pointer,NA,NA,en-en,TRUE,novel,26
1,2,102,14,1,24,#Bridger,#Mycroft,NA,NA,NA,en-en,TRUE,novel,1
1,2,103,14,1,24,#Mycroft,#Bridger,#Pointer,NA,NA,en-en,TRUE,novel,19
1,2,104,14,1,24,#Bridger,#Mycroft,NA,NA,#Hell,en-en,TRUE,novel,9
1,2,106,14,1,24,#Major,#Bridger,#Pointer,NA,NA,en-en,TRUE,novel,15
1,2,106,14,1,24,#Major,#Bridger,#Bridger,NA,NA,en-en,TRUE,novel,15
1,2,108,14,1,24,#Mycroft,#Bridger,NA,NA,NA,en-en,TRUE,novel,2
1,2,109,14,1,25,#Bridger,#Mycroft,NA,NA,NA,en-en,TRUE,novel,3
1,2,110,14,1,25,#Mycroft,#Bridger,NA,NA,NA,en-en,TRUE,novel,7
1,2,110,14,2,25,#Mycroft,#Bridger,#Carlyle,NA,NA,en-en,TRUE,novel,6
1,2,111,14,1,25,#Carlyle,#Mycroft,NA,NA,NA,en-en,TRUE,novel,1
1,2,113,14,1,25,#Bridger,#Major,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,1,25,#Bridger,#Aimer,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,1,25,#Bridger,#Crawler,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,1,25,#Bridger,#Croucher,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,1,25,#Bridger,#Looker,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,1,25,#Bridger,#Medic,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,1,25,#Bridger,#Nogun,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,1,25,#Bridger,#Nostand,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,1,25,#Bridger,#StanderG,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,1,25,#Bridger,#StanderY,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#Major,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#Aimer,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#Crawler,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#Croucher,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#Looker,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#Medic,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#Nogun,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#Nostand,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#StanderG,NA,NA,NA,en-en,TRUE,novel,2
1,2,113,14,2,25,#Bridger,#StanderY,NA,NA,NA,en-en,TRUE,novel,2
1,2,115,14,1,25,#Bridger,#Mycroft,#Pointer,NA,NA,en-en,TRUE,novel,4
1,2,116,14,1,25,#Thisbe,#Bridger,#Pointer,NA,NA,en-en,TRUE,novel,5
1,2,116,14,2,25,#Thisbe,#Bridger,#Mommadoll,NA,NA,en-en,TRUE,novel,13
1,2,117,14,1,25,#Bridger,#Thisbe,NA,NA,NA,en-en,TRUE,novel,1
1,2,118,14,1,25,#Bridger,#Thisbe,#Mycroft,NA,NA,en-en,TRUE,novel,3
1,2,119,14,1,25,#Thisbe,#Bridger,#Mycroft,NA,NA,en-en,TRUE,novel,19
1,2,120,14,1,25,#Bridger,#Thisbe,NA,NA,NA,en-en,TRUE,novel,2
1,2,121,14,1,25,#Major,#Bridger,#Bridger,NA,NA,en-en,TRUE,novel,4
1,2,121,14,2,25,#Major,#Carlyle,#Carlyle,NA,NA,en-en,TRUE,novel,2
1,2,122,14,1,25,#Carlyle,#Major,NA,NA,NA,en-en,TRUE,novel,1
1,2,123,14,1,25,#Major,#Carlyle,NA,NA,NA,en-en,TRUE,novel,17
1,2,123,14,2,25,#Major,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,40
1,2,124,14,1,26,#Carlyle,#Major,NA,NA,NA,en-en,TRUE,novel,8
1,2,125,14,1,26,#Major,#Carlyle,#Carlyle,NA,NA,en-en,TRUE,novel,38
1,2,127,14,1,26,#Thisbe,#Major,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Major,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Bridger,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Bridger,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Aimer,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Aimer,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Crawler,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Crawler,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Croucher,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Croucher,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Looker,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Looker,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Medic,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Medic,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Nogun,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Nogun,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Nostand,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#Nostand,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#StanderG,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#StanderG,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#StanderY,#Major,NA,NA,en-en,TRUE,novel,6
1,2,127,14,1,26,#Thisbe,#StanderY,#Bridger,NA,NA,en-en,TRUE,novel,6
1,2,127,15,2,26,#Thisbe,#Thisbe,NA,NA,NA,en-en,TRUE,novel,4
1,2,127,15,2,26,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,4
1,2,127,15,3,26,#Thisbe,#Carlyle,#Major,NA,NA,en-en,TRUE,novel,38
1,2,127,15,3,26,#Thisbe,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,38
1,2,128,15,1,26,#Mycroft,#Carlyle,NA,#Conclave,NA,en-en,TRUE,novel,7
1,2,129,15,1,26,#Thisbe,#Mycroft,NA,NA,NA,en-en,TRUE,novel,1
1,2,129,15,2,26,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,6
1,2,130,15,1,26,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,2
1,2,131,15,1,26,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,10
1,2,132,15,1,26,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,17
1,2,133,15,1,26,#Thisbe,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,63
1,2,134,15,1,26,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,9
1,2,135,15,1,26,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,2
1,2,135,15,2,26,#Thisbe,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,20
1,2,136,15,1,26,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,4
1,2,137,15,1,26,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,1
1,2,137,15,2,26,#Thisbe,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,27
1,2,140,15,1,27,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,153
1,2,140,15,2,27,#reader,#Mycroft,#Mycroft,NA,NA,en-ar,FALSE,novel,28
1,2,140,15,3,27,#Mycroft,#reader,#reader,NA,NA,en-en,FALSE,novel,61
1,2,141,15,1,27,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,6
1,2,142,15,1,27,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,3
1,2,143,15,1,27,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,2
1,2,143,15,2,27,#Carlyle,#Thisbe,#Bridger,NA,NA,en-en,TRUE,novel,5
1,2,144,15,1,27,#Thisbe,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,57
1,2,145,15,1,27,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,6
1,2,146,15,1,27,#Thisbe,#Carlyle,NA,NA,#FlowerTrench,en-en,TRUE,novel,5
1,2,146,15,2,27,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,4
1,2,147,15,1,28,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,7
1,2,148,15,1,28,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,1
1,2,149,15,1,28,#Mycroft,#Thisbe,#Cato,NA,NA,en-en,TRUE,novel,1
1,2,150,15,1,28,#Thisbe,#Mycroft,NA,NA,NA,en-en,TRUE,novel,1
1,2,150,15,2,28,#Thisbe,#Carlyle,#Cato,NA,NA,en-en,TRUE,novel,4
1,2,151,15,1,28,#Carlyle,#Thisbe,#Cato,NA,NA,en-en,TRUE,novel,3
1,2,151,15,2,28,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,14
1,2,152,15,1,28,#Thisbe,#Carlyle,#Cato,NA,#FlowerTrench,en-en,TRUE,novel,48
1,2,152,15,1,28,#Thisbe,#Carlyle,#Bridger,NA,#FlowerTrench,en-en,TRUE,novel,48
1,2,152,15,1,28,#Thisbe,#Carlyle,#Mycroft,NA,#FlowerTrench,en-en,TRUE,novel,48
1,2,153,15,1,28,#Carlyle,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,1
1,2,153,15,2,28,#Mycroft,#reader,#Carlyle,NA,NA,en-en,FALSE,novel,102
1,2,153,15,2,28,#Mycroft,#reader,#Thisbe,NA,NA,en-en,FALSE,novel,102
1,2,154,15,1,28,#Mycroft,#reader,#ThomasMore,#Servicers,NA,en-en,FALSE,novel,210
1,2,155,15,1,29,#Carlyle,#Mycroft,#Bridger,NA,NA,en-en,TRUE,novel,7
1,2,156,15,1,29,#Thisbe,#Carlyle,#Mycroft,NA,NA,en-en,TRUE,novel,37
1,2,156,15,1,29,#Thisbe,#Carlyle,#Bridger,NA,NA,en-en,TRUE,novel,37
1,2,157,15,1,29,#Carlyle,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,11
1,2,158,15,1,29,#Mycroft,#Carlyle,NA,NA,NA,en-en,TRUE,novel,3
1,2,159,15,1,29,#Carlyle,#Mycroft,#Bridger,NA,NA,en-en,TRUE,novel,5
1,2,160,15,1,29,#Mycroft,#Carlyle,NA,NA,NA,en-en,TRUE,novel,1
1,2,161,15,1,29,#Carlyle,#Thisbe,#Thisbe,NA,NA,en-en,TRUE,novel,9
1,2,162,15,1,29,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,1
1,2,163,15,1,29,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,19
1,2,163,15,1,29,#Carlyle,#Mycroft,NA,NA,NA,en-en,TRUE,novel,19
1,2,164,15,1,29,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,3
1,2,165,15,1,29,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,14
1,2,166,15,1,29,#Thisbe,#Carlyle,NA,NA,NA,en-en,TRUE,novel,4
1,2,167,15,1,29,#Carlyle,#Thisbe,NA,NA,NA,en-en,TRUE,novel,1
1,2,167,15,2,29,#Carlyle,#Mycroft,#Mycroft,NA,NA,en-en,TRUE,novel,20
